UID,Account Type,Order ID,Symbol,Side,Order Type,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC+00:00),Fee,Tax,Maker/Taker,Fee Currency
53235106,mainAccount,613504a23cd33d00064f88da,MTV-USDT,BUY,LIMIT,0.020652,31.5096,0.6507362592,0.6507362592,2021-09-05 17:55:46,0.0006507362592,,TAKER,USDT
53235106,mainAccount,613504a23cd33d00064f88da,MTV-USDT,BUY,LIMIT,0.020652,4983.3379,102.9158943108,102.9158943108,2021-09-05 17:56:11,0.1029158943108,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,30087.6787,564.31246662572,564.31246662572,2021-09-06 16:22:21,0.56431246662572,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,14479.2809,271.56760084804,271.56760084804,2021-09-06 16:22:21,0.27156760084804,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,2344.0568,43.96419171808,43.96419171808,2021-09-06 16:22:21,0.04396419171808,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,94.9289,1.78044847684,1.78044847684,2021-09-06 16:22:24,0.00178044847684,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,79.3605,1.4884537938,1.4884537938,2021-09-06 16:23:11,0.0014884537938,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,5331.95450425,100.0040058999113,100.0040058999113,2021-09-06 16:23:39,0.1000040058999113,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,899.9802,16.87966863912,16.87966863912,2021-09-06 16:23:44,0.01687966863912,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,15287.60105781,286.72813039986124,286.72813039986124,2021-09-06 16:23:45,0.2867281303998612,,MAKER,USDT
53235106,mainAccount,6136403d1001d500066ed64b,MTV-USDT,SELL,LIMIT,0.0187556,13782.39543794,258.4970958758275,258.4970958758275,2021-09-06 16:24:11,0.2584970958758275,,MAKER,USDT
53235106,mainAccount,6137e89c89e43f00067952a2,QNT-USDT,BUY,LIMIT,322.213,1.1977,385.9145101,385.9145101,2021-09-07 22:33:00,0.3859145101,,TAKER,USDT
53235106,mainAccount,6137e8f7ed64aa0007e8f653,LINK-USDT,BUY,LIMIT,28.0339,20,560.678,560.678,2021-09-07 22:35:03,0.560678,,MAKER,USDT
53235106,mainAccount,6137e92f89e43f00067b8dc0,VET-USDT,BUY,LIMIT,0.1212914,2457.4609,298.06887300626,298.06887300626,2021-09-07 22:35:32,0.29806887300626,,MAKER,USDT
53235106,mainAccount,6137e94247d1a900063cc935,ADA-USDT,BUY,LIMIT,2.425687,122.6346,297.4731549702,297.4731549702,2021-09-07 22:37:42,0.2974731549702,,MAKER,USDT
53235106,mainAccount,6160a8186b0042000116a829,VET-USDT,SELL,LIMIT,0.112791,80,9.02328,9.02328,2021-10-08 20:23:54,0.00902328,,MAKER,USDT
53235106,mainAccount,61796fe8bba1ec00014b5575,RNDR-USDT,BUY,LIMIT,0.8796,500,439.8,439.8,2021-10-27 15:36:50,0.8796,,MAKER,USDT
53235106,mainAccount,617d9dc6b52bc0000198ddf0,ELON-USDT,BUY,LIMIT,0.000002401,100000000,240.1,240.1,2021-10-30 19:32:22,0.4802,,TAKER,USDT
53235106,mainAccount,617ec6ae92e1df0001929635,CELO-USDT,BUY,LIMIT,6.1241,100,612.41,612.41,2021-10-31 18:12:04,0.61241,,MAKER,USDT
53235106,mainAccount,6182931310e940000178dfed,ELON-USDT,SELL,LIMIT,0.000001469,50000000,73.45,73.45,2021-11-03 13:48:03,0.1469,,TAKER,USDT
53235106,mainAccount,6185a5eb9d32e60001803726,CRO-USDT,BUY,LIMIT,0.3789,1040.1627,394.11764703,394.11764703,2021-11-05 21:45:16,0.39411764703,,MAKER,USDT
53235106,mainAccount,6185ed35013cb700016bf5a7,CRO-USDT,BUY,LIMIT,0.3399,579.1756,196.86178644,196.86178644,2021-11-06 03:02:26,0.19686178644,,MAKER,USDT
53235106,mainAccount,618896a79d32e60001c63cad,RNDR-USDT,BUY,LIMIT,1.8692,47.2417,88.30418564,88.30418564,2021-11-08 03:16:55,0.17660837128,,TAKER,USDT
53235106,mainAccount,618c816ba50137000112d221,KCS-USDT,BUY,LIMIT,22.287,0.4096,9.1287552,9.1287552,2021-11-11 02:35:23,0.0182575104,,TAKER,USDT
53235106,mainAccount,618c816ba50137000112d221,KCS-USDT,BUY,LIMIT,22.287,0.0512,1.1410944,1.1410944,2021-11-11 02:35:23,0.0022821888,,TAKER,USDT
53235106,mainAccount,618c816ba50137000112d221,KCS-USDT,BUY,LIMIT,22.287,0.8442,18.8146854,18.8146854,2021-11-11 02:35:23,0.0376293708,,TAKER,USDT
53235106,mainAccount,6195e042fe8b03000121ce26,ELON-USDT,SELL,LIMIT,0.000001895,50000000,94.75,94.75,2021-11-18 05:11:44,0.1895,,MAKER,USDT
53235106,mainAccount,6195e0a2f5bdf0000178056d,LINK-USDT,SELL,LIMIT,28.6835,20,573.67,573.67,2021-11-18 05:15:16,0.57367,,MAKER,USDT
53235106,mainAccount,6195e0f5dacac4000164578b,CELO-USDT,SELL,LIMIT,5.1101,50.1485,256.26384985,256.26384985,2021-11-18 05:15:24,0.25626384985,,MAKER,USDT
53235106,mainAccount,6195e0f5dacac4000164578b,CELO-USDT,SELL,LIMIT,5.1101,49.8515,254.74615015,254.74615015,2021-11-18 05:15:27,0.25474615015,,MAKER,USDT
53235106,mainAccount,6195f47735ed8b00017766a5,RNDR-USDT,BUY,LIMIT,6.1709,3.9757,24.53364713,24.53364713,2021-11-18 06:36:39,0.04906729426,,MAKER,USDT
53235106,mainAccount,6195f47735ed8b00017766a5,RNDR-USDT,BUY,LIMIT,6.1709,12.6424,78.01498616,78.01498616,2021-11-18 06:36:49,0.15602997232,,MAKER,USDT
53235106,mainAccount,6195f4e874169800011811ad,RNDR-USDT,BUY,LIMIT,6.21,47,291.87,291.87,2021-11-18 06:38:32,0.58374,,TAKER,USDT
