Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Interest Income,5.524e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,04-07-2021 23:00:04
Interest Income,5.525e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,05-07-2021 23:00:03
Interest Income,5.526e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,06-07-2021 23:00:03
Interest Income,5.526e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,07-07-2021 23:00:03
Interest Income,5.527e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,08-07-2021 23:00:03
Interest Income,5.527e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,09-07-2021 23:00:03
Interest Income,5.528e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,10-07-2021 23:00:03
Interest Income,5.529e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,11-07-2021 23:00:03
Interest Income,5.529e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,12-07-2021 23:00:03
Interest Income,5.53e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,13-07-2021 23:00:03
Interest Income,5.53e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,14-07-2021 23:00:03
Interest Income,5.531e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,15-07-2021 23:00:04
Interest Income,5.532e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,16-07-2021 23:00:04
Interest Income,5.532e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,17-07-2021 23:00:03
Interest Income,5.533e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,18-07-2021 23:00:03
Interest Income,5.533e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,19-07-2021 23:00:03
Interest Income,5.534e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,20-07-2021 23:00:03
Interest Income,5.534e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,21-07-2021 23:00:03
Interest Income,5.535e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,22-07-2021 23:00:04
Interest Income,5.536e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,23-07-2021 23:00:03
Interest Income,5.536e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,24-07-2021 23:00:03
Interest Income,5.537e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,25-07-2021 23:00:03
Interest Income,5.537e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,26-07-2021 23:00:03
Interest Income,5.538e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,27-07-2021 23:00:03
Interest Income,5.539e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,28-07-2021 23:00:04
Interest Income,5.539e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,29-07-2021 23:00:03
Interest Income,5.54e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,30-07-2021 23:00:03
Interest Income,5.54e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,31-07-2021 23:00:04
Interest Income,5.541e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,01-08-2021 23:00:03
Interest Income,5.542e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,02-08-2021 23:00:03
Interest Income,5.542e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,03-08-2021 23:00:04
Interest Income,5.543e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,04-08-2021 23:00:03
Interest Income,5.543e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,05-08-2021 23:00:03
Interest Income,5.544e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,06-08-2021 23:00:03
Interest Income,5.545e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,07-08-2021 23:00:03
Interest Income,5.545e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,08-08-2021 23:00:03
Interest Income,5.546e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,09-08-2021 23:00:03
Interest Income,5.546e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,10-08-2021 23:00:03
Interest Income,5.547e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,11-08-2021 23:00:03
Interest Income,5.548e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,12-08-2021 23:00:03
Interest Income,5.548e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,13-08-2021 23:00:03
Interest Income,5.549e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,14-08-2021 23:00:03
Interest Income,5.549e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,15-08-2021 23:00:04
Interest Income,5.55e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,16-08-2021 23:00:03
Interest Income,5.551e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,17-08-2021 23:00:03
