Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT4yljm7dGPKL1TP8uNN3dz0,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-20 22:00:00
NXT5KwVSi97FgjJeiuu5qQdag,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-19 22:00:00
NXTeVpIy4z3MYkFdoKTHpXDV,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-18 22:00:00
NXT19GxnOfpwyCOlJbZq155ws,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-17 22:00:00
NXT23VEOTajWb0n9Xaht1lWWC,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-16 22:00:00
NXTddXKtlfbAZHTWur0UDyzd,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-15 22:00:00
NXT2sfOjPsuABZzej8zHBSfqd,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-14 22:00:00
NXT29KqMDRwpKCkGrlIy2rweK,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-13 22:00:00
NXT5U0LZ0D8XcAz5c92n0fXYw,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-12 22:00:00
NXT1Eop42NzCkD1uzlpjEAY7S,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-11 22:00:00
NXT3aexgCavU0KlTmXbFaAS10,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-10 22:00:00
NXT3V7jPhOKO3UsyU1JMRdL7D,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-09 22:00:00
NXT1dOtPJ12JOzojrWnG7VSaZ,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-08 22:00:00
NXT9k4OS7XtuSyDfsiweBHgE,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-07 22:00:00
NXT4QCf990Uxplm6MsoVp2Sym,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-06 22:00:00
NXT78FNX7ow54z8LSpsWSXeZT,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-05 22:00:00
NXT4DyIDPKL4lggtD37wrqYxM,Interest,USD,-1.33000000,-,0.00000000,$1.33,-,-,"approved / Interest",2023-08-04 22:00:00
NXT2XLptyOcEsPurJjJNoyU7x,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-08-03 22:00:00
NXT4LWVFih91w6J2o3aGMEo1w,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-08-02 22:00:00
NXT5ulfaXqRBig1W3LKeElrbE,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-08-01 22:00:00
NXT6Q6JfOSUNB556d8MZoanpv,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-31 22:00:00
NXT4cVna7YOeG1HghnnBg5a0i,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-30 22:00:00
NXT5wmLXp3k09100cKLQOmo1e,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-29 22:00:00
NXT4vrNZv9mFkwWcF9AX4j92a,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-28 22:00:00
NXT5aKQObgASuWfPH9mRMuESM,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-27 22:00:00
NXT1yQj6h0fe6YgwzmopYAVA,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-26 22:00:02
NXTFilR6LoQmEcUVcKQrT4XK,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-25 22:00:02
NXT3vM1ZcypqHwoLefH6eGUxZ,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-24 22:00:03
NXT5W8KIXdSmqEUGqprgVYQQE,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-23 22:00:02
NXTRo9dNCa5p6eI9lcjoOaK6,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-22 22:00:02
NXT1DFEGu9SylBmXucIwlAToH,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-21 22:00:02
NXT1NH66h6Y9A5junn7VEgg2B,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-20 22:00:02
NXT6REwyqOWxakRUcmJMOKRoo,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-19 22:00:03
NXT6pcLRjpFy3GqfN68Mf5Adb,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-18 22:00:02
NXT5ODUFJ6vNvoZhJCVIdy9qi,Interest,USD,-1.32000000,-,0.00000000,$1.32,-,-,"approved / Interest",2023-07-17 22:00:02
NXT2yodXu747cDR4ASa3cph2k,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-16 22:00:02
NXT1nAR0WdWeO9Gp5W7sjZeqS,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-15 22:00:02
NXT7PKd0qkd4qAa5OhNyN6Nx6,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-14 22:00:02
NXT4wkiGZyOFfDmNJ6L23WA3b,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-13 22:00:02
NXT299CuLmZrydRMby1hzizwj,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-12 22:00:02
NXT23otre2FhqrSjbn8XLg6mO,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-11 22:00:02
NXT1ABDI9PYxg7wSTrIo40Fds,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-10 22:00:02
NXT4Yh5nIiVE4AGwMzqa6eiz6,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-09 22:00:02
NXT5EqTrXkrhA8ZjTyeZdwqIf,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-08 22:00:02
NXTUuyu36DDsprroHJe9AotY,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-07 22:00:02
NXT7P50qpM0TVGUclVEGgyDLa,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-06 22:00:03
NXT4cJqs21DRnWpS0nt3taiQ8,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-05 22:00:03
NXT1ypjob7N5EwVd6oO0IP0jq,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-04 22:00:03
NXT3K9hTzmkW5GOFzuboImRqo,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-03 22:00:03
NXT67AgKcqZfCE1iP4fcxqu7z,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-02 22:00:02
NXT4xw7WOGXQFZivVwKoZllxN,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-07-01 22:00:02
NXT5vioSsS7LsbJ7gRTvkhTMR,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-06-30 22:00:03
NXTMvWa8TTZeGWRL10DYbshh,Interest,USD,-1.31000000,-,0.00000000,$1.31,-,-,"approved / Interest",2023-06-29 22:00:02
NXT5H7twKbQ5vIZ6fA8VSYDrl,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-28 22:00:02
NXT47dlGGxGQOR6greym9pf9v,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-27 22:00:02
NXT70G265ZflzCqiSe3ayE7vh,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-26 22:00:02
NXT6nuojpxyGT7oZYsJ89HWVA,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-25 22:00:02
NXT1CuhxaP0tsFTQDewYxpDjx,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-24 22:00:02
NXT78RPhqmg8TmgRGzVfN3ZOG,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-23 22:00:02
NXT9CxyER42XO9BpzMMb1QWH,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-22 22:00:02
NXTGY9SGr0PUFuU6Xgq7N26b,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-21 22:00:02
NXT3DjFDpVC0Zo1DCeG2VKYkb,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-20 22:00:02
NXT47IBEU7RvEANLQrg5e9tfM,Interest,USD,-1.30000000,-,0.00000000,$1.30,-,-,"approved / Interest",2023-06-19 22:00:02
