Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2HkuLfi9x0ABDaTsZm5NfE,Withdrawal,DOT,-6.81430000,DOT,6.81430000,$28.96,-,-,"approved / DOT withdrawal",2025-04-28 09:28:21
NXT2BKdKXRmPIsMpv6yvlCUmA,Withdrawal,BNB,-0.10340000,BNB,0.10330340,$62.73,0.00009660,BNB,"approved / BNB withdrawal",2025-04-28 09:26:14
NXT5W7n9apd55CxiJVPpeEMn3,Withdrawal,XRP,-114.32640000,XRP,114.32640000,$266.35,-,-,"approved / XRP withdrawal",2025-04-28 09:24:38
NXT3jpV5KeUfst3wVkesp8trN,Withdrawal,ADA,-480.89130000,ADA,480.89130000,$347.37,-,-,"approved / ADA withdrawal",2025-04-28 09:22:57
NXT2EaeCJGWtyhRWVF65n0nhC,Withdrawal,ETH,-1.87651385,ETH,1.87651385,$3398.30,-,-,"approved / ETH withdrawal",2025-04-28 09:20:27
NXT2ulrsHXlggbcKYi1MeN1yB,Withdrawal,BTC,-0.09812392,BTC,0.09801889,$9298.14,0.00010502,BTC,"approved / BTC withdrawal",2025-04-28 09:18:08
NXT3qw6xLUdsrTpMnPvdlduBS,Transfer In,ADA,480.89130000,ADA,480.89130000,$332.45,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:39:39
NXT3F66oISWshox7BAoBWwYL0,Transfer In,DOT,6.81430000,DOT,6.81430000,$27.72,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:38:40
NXT6BvZYe3AEjmnIHOvkxkgg9,Transfer In,BNB,0.10340000,BNB,0.10340000,$62.27,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:38:06
NXTIu3DDBmUOF9LGJT38g7jq,Transfer In,XRP,114.32640000,XRP,114.32640000,$255.62,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:37:17
NXT5pbEA0BH88Rf7iIVJ5SrZH,Transfer In,ETH,1.13422214,ETH,1.13422214,$2008.45,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:36:36
NXT1MyzTNy19EboeUbsubNnsH,Transfer In,BTC,0.09812392,BTC,0.09812392,$9175.31,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:35:39
NXTQI0nzZPBrQtWRrb0dTscN,Manual Repayment,USDX,4155.08000000,USDX,0.00000000,$4155.08,10.80000000,USDX,"approved / Crypto Repayment",2025-04-26 19:40:28
NXT3TQl84hrYNNKOk2mG39yZY,Exchange Liquidation,BTC,0.04519384,USDX,4155.08000000,$4155.08,-,-,"approved / Crypto repayment / Exchange BTC to USDX",2025-04-26 19:40:28
NXT1NXcXmeAgykn7fWbJDI0br,Manual Sell Order,BTC,-0.04519384,BTC,0.00000000,$4165.88,-,-,"approved / Crypto Repayment",2025-04-26 19:40:27
NXT6mtu5o79af9fuoxM3jPTin,Interest,USDX,-1.72000000,USDX,1.72000000,$1.72,-,-,"approved / Interest",2025-04-26 00:00:00
NXT2mNhS0OvZZnvsCkfHSUlAC,Manual Repayment,USDX,2.76000000,USDX,2.76000000,$2.76,-,-,"approved / Borrow Interest Compensation (Apr 17–25, 2025)",2025-04-25 13:13:16
NXT10MfdQ3QRtzmdH50zaG4lO,Interest,USDX,-1.72000000,USDX,1.72000000,$1.72,-,-,"approved / Interest",2025-04-25 00:00:00
NXT5Y0vIJC8bnM8QuVbiqgytj,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-24 00:00:00
NXT55lE2bdVupX1muHH8YRkbP,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-23 00:00:00
NXT1kQF5bszn2L3rcaKibUkdm,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-22 00:00:00
NXT4eFYPjkyUFWNdmfgXaRxpr,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-21 00:00:00
NXT6IfPrZStaARjakUt13BfIC,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-20 00:00:00
NXT7etLxjau9z8AI2KbQvmIpo,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-19 00:00:00
NXT2C70TrIJMlthdr0pMXrIvz,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-18 00:00:00
NXTAjRBJZLpbGEP8wz2AvRQn,Interest,USDX,-2.06000000,USDX,2.06000000,$2.06,-,-,"approved / Interest",2025-04-17 00:00:00
NXT2DK3nuOIGvhk0LZ2HCyiKd,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-16 00:00:00
NXT4CQZv9t0RIte1QpQnmSPe4,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-15 00:00:00
NXTYTQ51PHUJG3RdjNH9uXDk,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-14 00:00:00
NXT79g0nZV8OyZnp8tkZjGAFa,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-13 00:00:00
NXT69lcI0CLELXydtOhYgpOIx,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-12 00:00:00
NXT54qgSuRsP4gryEpW0uebEb,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-11 00:00:00
NXT6buCn76dI3Yoqrzck6Y32Z,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-10 00:00:00
NXT7dpeLZp4nRVegOnk4TfMes,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-09 00:00:00
NXT1U6KMpGh9ZJwLpd0h05UnS,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-08 00:00:00
NXT5z1wqwhx8kuJY823mCpYEK,Interest,USDX,-1.71000000,USDX,1.71000000,$1.71,-,-,"approved / Interest",2025-04-07 00:00:00
NXT7hXz3gRBVomczUeCPWomNS,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-06 00:00:00
NXT3vQb2VUNliNgnbE4EYbg8d,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-05 00:00:00
NXT3oiWrEjWtSa6Oj3Q05WPPw,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-04 00:00:00
NXT1RGgcVvFetaK8nlO3DVpl0,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-03 00:00:00
NXT1uaEFrlcc56OvpIg3lQUEw,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-02 00:00:00
NXTP3QYRsRGNAqRHThSE080j,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-04-01 00:00:00
NXT2l8seNF8BIOJBnm9hzLEIL,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-31 00:00:00
NXT7KELeiMtqLpuxAN51C4vKa,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-30 00:00:00
NXT1K7VJxe0sU2spjM8cEIq2A,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-29 00:00:00
NXTRvN8KCTYNa1MnVbGYojzb,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-28 00:00:00
NXT6WHR53fRkL1adf1fWXSm4u,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-27 00:00:00
NXT4T57O0c75dPPs6ESPPQkGv,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-26 00:00:00
NXTEpexH5QEjNIob0jV2O2j6,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-25 00:00:00
NXT33wXRwIdMuMUn06GHz1UBf,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-24 00:00:00
NXT44PF7hcJzjpPAUfu6EpeWm,Interest,USDX,-1.70000000,USDX,1.70000000,$1.70,-,-,"approved / Interest",2025-03-23 00:00:00
NXT6X9CNmHmjiDsO5kQbMzCl6,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-22 00:00:00
NXT3NXCfVZ50QIYdg0Ao0aKCY,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-21 00:00:00
NXTb7snnjrJbn2JTRNSlc0qQ,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-20 00:00:00
NXT5jktwvcHHn5w5Eb0NYJT5K,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-19 00:00:00
NXT3HiFlwVRHIn56JFK567SvQ,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-18 00:00:00
NXT6wL0tUKALsXvwRRFXS8jE1,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-17 00:00:00
NXT3TKqZRbJwU2AS1Zr5o2Qo3,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-16 00:00:00
NXT7hGYfi9VGssOlxeKjWLvWL,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-15 00:00:00
NXT5SbGDCOu659up11IN2oZGa,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-14 00:00:00
NXT980YNFBo3wuhoBidtZ8fW,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-13 00:00:00
NXT7Ks88dYqmwRVqTiMTvSUOk,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-12 00:00:00
NXT5ASRGM1uvcePpAD82wYkX9,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-11 00:00:00
NXT3OTapGGUWFfsRzE1FLtm2K,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-10 00:00:00
NXT3ZxhMHNOBhMblPNVZG3LJH,Interest,USDX,-1.69000000,USDX,1.69000000,$1.69,-,-,"approved / Interest",2025-03-09 00:00:00
NXT4tX785LTzveFjqr4qAdaA4,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-08 00:00:00
NXT5EYqBBT0ahKU5XNknNBM5c,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-07 00:00:00
NXT1FxOaGFdLWwurLHtADgudr,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-06 00:00:00
NXTidzSphkupycFyNYX9kBbn,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-05 00:00:00
NXT3Co4DGiVHv28KPwZXi7zY2,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-04 00:00:00
NXT4gpAcyoL7pLatu9Vtgmhhj,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-03 00:00:00
NXT1Rjr0Pbb992X5oPi2OSSI5,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-02 00:00:00
NXT5b206M3YwdbIFLaOwVPamI,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-03-01 00:00:00
NXT7ZHtbQU5O0icdoDvI1mkYg,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-28 00:00:00
NXT3Q6s4N3NRbk8u77xQpmN9s,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-27 00:00:00
NXT6ckzi8rJjeLyNo5Mz2b5z0,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-26 00:00:00
NXT7IIRdC3mSq3qiZu73TF2gk,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-25 00:00:00
NXT5nJmfPlfRVWKM4ROJhH682,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-24 00:00:00
NXT3GGP3UnpWOflpkPGT5vrfH,Interest,USDX,-1.68000000,USDX,1.68000000,$1.68,-,-,"approved / Interest",2025-02-23 00:00:00
NXT42htDLZnd28VC1EwMekfih,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-22 00:00:00
NXT6a5EHdMkmkj8s5Qt9VhyMC,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-21 00:00:00
NXT6cRMKNKSHqCNTA1HzjJ3P9,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-20 00:00:00
NXT3JFfft5rwSjfOsiM0Xr1vQ,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-19 00:00:00
NXT1R9n8sp189OvJb8yJp9CNS,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-18 00:00:00
NXT71oqg9BXP3jZFlOyNEJMFX,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-17 00:00:00
NXT54yR36xXvqRCJlHuMEn33i,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-16 00:00:00
NXT3TxsiHfhjiRnIY7RBcjcGd,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-15 00:00:00
NXT2gjKTuQl7e3NW6JqGA0aSC,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-14 00:00:00
NXT1XILWKirQY7QSN1hcrcvDM,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-13 00:00:00
NXT5K0Dhg4qiYYWQkLDfBhI0d,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-12 00:00:00
NXT2z07wlK8pQJXqV2G52jtjE,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-11 00:00:00
NXT3ecDFA7HEYKAyqTFFA7DP0,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-10 00:00:00
NXT4Wv1h9O40rmd4C2hRL6Fd5,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-09 00:00:00
NXT5zNWRzymAKtNAQBCatPFdo,Interest,USDX,-1.67000000,USDX,1.67000000,$1.67,-,-,"approved / Interest",2025-02-08 00:00:00
NXT7K8HHbjRtRV4HJzEPsGFLO,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-07 00:00:00
NXT5XZIDg9eeO4ZU5KHfTMNV7,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-06 00:00:00
NXT3FRw7wXNXwnDEjSlh5D0K4,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-05 00:00:00
NXT5UMbAZtqq4JuLZApdAbgWY,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-04 00:00:00
NXTX0lDpVayVHJ6D1Jd8J0mB,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-03 00:00:00
NXT1XUGZOq8mOizHyuW1LhzMu,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-02 00:00:00
NXT72OOcgWYNfr6wv9lU7RMFQ,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-02-01 00:00:00
NXT49InGBj9tNrlHaX1GVBzQl,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-31 00:00:00
NXT4KlMLJjnbG48nd6sZTvbDT,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-30 00:00:00
NXTCL6U1ZynX1BhOGzgONuTR,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-29 00:00:00
NXT4nB8iS7hjvz5vvdgNC9sU2,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-28 00:00:00
NXT7eCiWSBYTu1Y1KBmA4qx5Z,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-27 00:00:00
NXT4KhBPzerAiMbwp36qBGwjR,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-26 00:00:00
NXT4yUVVOFKKkLl76xKMmCMaz,Interest,USDX,-1.66000000,USDX,1.66000000,$1.66,-,-,"approved / Interest",2025-01-25 00:00:00
NXT2VQtxf4eLyXPR9CFKYvbT1,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-24 00:00:00
NXT2rFsoWUtHOMGqGjcoi1Uma,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-23 00:00:00
NXTcWdo1e7Xcl53Wjrn0DHCe,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-22 00:00:00
NXT1msIYnZepTFWMlWX1WfaRd,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-21 00:00:00
NXT12DssDC0iNwmE2b3UwyBhH,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-20 00:00:00
NXTkPACp3u2SN15PUuTj6c9v,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-19 00:00:00
NXT5TJ2BmsVKZxIzAQzH42Owo,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-18 00:00:00
NXT5uRqylGUV1kAH1FEcg2VoR,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-17 00:00:00
NXT5qJXer1XGFH9Lz5uAeccpx,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-16 00:00:00
NXT14x3CIjgsOCR94sTd8IAIx,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-15 00:00:00
NXT1tVeTeaifQixSLP9sFBf1a,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-14 00:00:00
NXT5i3Pz4WQ7KHqsTlfQQ1K8u,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-13 00:00:00
NXT2jgvaKenspcH6HNDykdZYA,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-12 00:00:00
NXT4P91iff0hcL2dTxk0fw2II,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-11 00:00:00
NXT6yqJccEHURMBAGaNf6p745,Interest,USDX,-1.65000000,USDX,1.65000000,$1.65,-,-,"approved / Interest",2025-01-10 00:00:00
NXT4gHWNMztomZCwuPtoU9ERC,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-09 00:00:00
NXT1kOCdR30GDeoFIaDt7m9Fo,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-08 00:00:00
NXT4elSjvsmCahnctZnJ9liuE,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-07 00:00:00
NXT2gtvplWa41HMV6oQmHspnf,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-06 00:00:00
NXT7U014A5T5gjnrFG4OCrEMb,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-05 00:00:00
NXT1qHi5m4wRpl0YcDqs81inW,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-04 00:00:00
NXT3cVOBJ3pz8SLKp7IXoY8ER,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-03 00:00:00
NXT6rGcwsy9AsiKEcNsl8YrV,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-02 00:00:00
NXT5vdZEhsE0eIizViwKB6Hhr,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2025-01-01 00:00:00
NXT1ap72GOUcWEL6kCa1gjdl4,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-31 00:00:00
NXT5yRV0TrF5idLMnBTIqLOYe,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-30 00:00:00
NXT7aODIXW0aVlHLGSYljnOJG,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-29 00:00:00
NXT6TKYyL3z7Aw1pwSAso9KiE,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-28 00:00:00
NXT25g9V18m7hWXYSWA12sSGI,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-27 00:00:00
NXT1iYHfMv9wF58KY0FCONiEz,Interest,USDX,-1.64000000,USDX,1.64000000,$1.64,-,-,"approved / Interest",2024-12-26 00:00:00
NXT6J88gFBjTgyLMpCNppq4Jn,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-25 00:00:00
NXT2Ftm0Tbh5RKueEOaVLoFRY,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-24 00:00:00
NXT7AKcgToMgeke7nBo0JFzbU,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-23 00:00:00
NXTf8s6H6hygrasCoeksOe1F,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-22 00:00:00
NXT3BT6649x6XxNkD4Pqi9lOM,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-21 00:00:00
NXT4JAniZprwapCr4Wt0YB4Wz,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-20 00:00:00
NXT7gKdwh4DsRWI5ho6wdRb2q,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-19 00:00:00
NXT2bhABqISC6xUscCKrhwXM7,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-18 00:00:00
NXTgS3FtxVkwi5nK9HMIVk1o,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-17 00:00:00
NXT7mBp4S5CQx4hNf9HiEjjlF,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-16 00:00:00
NXT2sXDHsNMLtA1uYAmbDtycq,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-15 00:00:00
NXT4OOBXOPzrhBYa8bU7BRrKv,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-14 00:00:00
NXTi9JPdaRAnONDGz9Ps3bAf,Interest,USDX,-1.63000000,USDX,1.63000000,$1.63,-,-,"approved / Interest",2024-12-13 00:00:00
NXT1lvxK1NAqlH7QWhwbarGPT,Interest,USDX,-1.63000000,-,0.00000000,$1.63,-,-,"approved / Interest",2024-12-12 00:00:00
NXT7CLdEFSIGGO3aaBZCiFWti,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-11 00:00:00
NXT2MK7vKH77kLKMexGryu24t,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-10 00:00:00
NXT5sAqMs0bjv5RIApy4mWILj,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-09 00:00:00
NXTaZYb4IJWjEvoDGnJESYKw,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-08 00:00:00
NXT1qAw95ZIu69Osxq80ZKc6G,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-07 00:00:00
NXT4JX3pRqgMWToJQsDBEov1v,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-06 00:00:00
NXT4VbREnsNpHxyIO5GjQ2LVR,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-05 00:00:00
NXTSSAZ8luzArbiHhH3492DF,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-04 00:00:00
NXT1A7G7vlWkvIc9rChqlKJ9b,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-03 00:00:00
NXT7Xk9quFeZfJYRgFtPb0y2r,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-02 00:00:00
NXT3UFFPfp4EkIIwfr7QStjIT,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-12-01 00:00:00
NXT220ehQikJRZ2GP8IAzyObb,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-11-30 00:00:00
NXTzyb5NxS6ojSHpMgPoOemb,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-11-29 00:00:00
NXT6FdNioOf8GPfS0n1yYzDAD,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-11-28 00:00:00
NXT7ktfsonEjxB90m90lbky81,Interest,USDX,-1.62000000,-,0.00000000,$1.62,-,-,"approved / Interest",2024-11-27 00:00:00
NXT6MqjmpJda2lhFLrj7ZsRlQ,Interest,USDX,-1.61000000,-,0.00000000,$1.61,-,-,"approved / Interest",2024-11-26 00:00:00
NXT5A94KEiQNic7mlseTpprEs,Interest,USDX,-1.61000000,-,0.00000000,$1.61,-,-,"approved / Interest",2024-11-25 00:00:00
NXT46cxZ4msxoVmzuVLJLiplP,Interest,USDX,-1.61000000,-,0.00000000,$1.61,-,-,"approved / Interest",2024-11-24 00:00:00
NXT6GfMnKhgNXfpBAyKuryKgm,Interest,USDX,-1.61000000,-,0.00000000,$1.61,-,-,"approved / Interest",2024-11-23 00:00:00
NXT5dPzqeaoPc4P5AeilJoGzb,Interest,USDX,-1.61000000,-,0.00000000,$1.61,-,-,"approved / Interest",2024-11-22 00:00:00
