Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Trade ID,Imported From,Add Date,Date
Trade,500.75,USDT,2500.0,FTM,2.003,USDT,Binance US,53645554,,2165587079,Binance US CSV,2025-06-19,03-09-2023 20:32:00
Trade,600.0988,USDT,2996.0,FTM,2.4003952,USDT,Binance US,53645554,,2165587087,Binance US CSV,2025-06-19,03-09-2023 20:33:00
Trade,144.216,USDT,720.0,FTM,0.576864,USDT,Binance US,53645554,,2165587515,Binance US CSV,2025-06-19,03-09-2023 20:35:00
Trade,150.225,USDT,750.0,FTM,0.6009,USDT,Binance US,53645554,,2165587516,Binance US CSV,2025-06-19,03-09-2023 20:35:00
Trade,142.4133,USDT,711.0,FTM,0.5696532,USDT,Binance US,53645554,,2165584905,Binance US CSV,2025-06-19,03-09-2023 20:35:00
Trade,159.2385,USDT,795.0,FTM,0.636954,USDT,Binance US,53645554,,2165586149,Binance US CSV,2025-06-19,03-09-2023 20:38:00
Trade,169.0532,USDT,844.0,FTM,0.6762128,USDT,Binance US,53645554,,2165586154,Binance US CSV,2025-06-19,03-09-2023 20:38:00
Trade,51.0765,USDT,255.0,FTM,0.204306,USDT,Binance US,53645554,,2165586156,Binance US CSV,2025-06-19,03-09-2023 20:38:00
Trade,194.4475,USDT,965.0,FTM,0.77779,USDT,Binance US,53645554,,2165589636,Binance US CSV,2025-06-19,03-09-2023 20:51:00
Trade,150.722,USDT,748.0,FTM,0.602888,USDT,Binance US,53645554,,2165591525,Binance US CSV,2025-06-19,03-09-2023 20:51:00
Trade,2.418,USDT,12.0,FTM,0.009672,USDT,Binance US,53645554,,2165589198,Binance US CSV,2025-06-19,03-09-2023 20:51:00
Trade,27.2544,USDT,136.0,FTM,0.1635264,USDT,Binance US,53645554,,2165589555,Binance US CSV,2025-06-19,03-09-2023 21:13:00
Trade,27.2408,USDT,136.0,FTM,0.1089632,USDT,Binance US,53645554,,2165591833,Binance US CSV,2025-06-19,03-09-2023 21:13:00
Trade,457.2849,USDT,2283.0,FTM,1.8291396,USDT,Binance US,53645554,,2165591230,Binance US CSV,2025-06-19,03-09-2023 21:13:00
Trade,162.243,USDT,810.0,FTM,0.648972,USDT,Binance US,53645554,,2165589564,Binance US CSV,2025-06-19,03-09-2023 21:14:00
Trade,442.2624,USDT,2208.0,FTM,1.7690496,USDT,Binance US,53645554,,2165588859,Binance US CSV,2025-06-19,03-09-2023 21:14:00
Trade,584.166,USDT,2915.0,FTM,3.504996,USDT,Binance US,53645554,,2165588880,Binance US CSV,2025-06-19,03-09-2023 21:17:00
Withdrawal,0.0,,4415.563356,USDT,9.892644,USDT,Binance US,53645554,,2165591454,Binance US CSV,2025-06-19,03-09-2023 23:04:00
Trade,269.6038,USDT,1346.0,FTM,1.6176228,USDT,Binance US,53645554,,2166145057,Binance US CSV,2025-06-19,08-09-2023 15:58:00
Trade,131.9977,USDT,659.0,FTM,0.7919862,USDT,Binance US,53645554,,2166146054,Binance US CSV,2025-06-19,08-09-2023 15:58:00
Trade,20.02,USDT,100.0,FTM,0.12012,USDT,Binance US,53645554,,2166146050,Binance US CSV,2025-06-19,08-09-2023 15:58:00
Trade,117.3172,USDT,586.0,FTM,0.7039032,USDT,Binance US,53645554,,2166146053,Binance US CSV,2025-06-19,08-09-2023 15:58:00
Trade,238.3,NEAR,268.3258,USDT,1.4298,NEAR,Binance US,53645554,,2167133794,Binance US CSV,2025-06-19,19-09-2023 13:21:00
Trade,237.8,NEAR,267.2872,USDT,1.4268,NEAR,Binance US,53645554,,2167133801,Binance US CSV,2025-06-19,19-09-2023 13:22:00
Withdrawal,0.0,,468.6970014,NEAR,4.54639857,NEAR,Binance US,53645554,,2167122187,Binance US CSV,2025-06-19,19-09-2023 13:30:00
Deposit,271.253877,USDT,0.0,,0.0,,Binance US,53645554,,2168521220,Binance US CSV,2025-06-19,02-10-2023 00:50:00
Deposit,1164.211653,USDT,0.0,,0.0,,Binance US,53645554,,2168514993,Binance US CSV,2025-06-19,02-10-2023 01:02:00
Deposit,175.0,USDT,0.0,,0.0,,Binance US,53645554,,2168521530,Binance US CSV,2025-06-19,02-10-2023 01:12:00
Trade,474.0,IOTA,73.707,USDT,1.896,IOTA,Binance US,53645554,,2168533240,Binance US CSV,2025-06-19,02-10-2023 02:48:00
Trade,24.0,IOTA,3.732,USDT,0.096,IOTA,Binance US,53645554,,2168542859,Binance US CSV,2025-06-19,02-10-2023 04:18:00
Trade,111.0,IOTA,17.2605,USDT,0.444,IOTA,Binance US,53645554,,2168555522,Binance US CSV,2025-06-19,02-10-2023 07:22:00
Trade,2211.0,IOTA,346.0215,USDT,8.844,IOTA,Binance US,53645554,,2168573924,Binance US CSV,2025-06-19,02-10-2023 12:18:00
Trade,2369.0,IOTA,370.7485,USDT,9.476,IOTA,Binance US,53645554,,2168573926,Binance US CSV,2025-06-19,02-10-2023 12:19:00
Trade,17.0,IOTA,2.6605,USDT,0.068,IOTA,Binance US,53645554,,2168573929,Binance US CSV,2025-06-19,02-10-2023 12:19:00
Trade,1360.0,IOTA,212.84,USDT,5.44,IOTA,Binance US,53645554,,2168573931,Binance US CSV,2025-06-19,02-10-2023 12:19:00
Trade,1864.0,IOTA,291.716,USDT,7.456,IOTA,Binance US,53645554,,2168574921,Binance US CSV,2025-06-19,02-10-2023 12:28:00
Trade,1864.0,IOTA,291.716,USDT,7.456,IOTA,Binance US,53645554,,2168575993,Binance US CSV,2025-06-19,02-10-2023 12:28:00
Withdrawal,0.0,,8.773221,IOTA,1.226779,IOTA,Binance US,53645554,,2168575135,Binance US CSV,2025-06-19,02-10-2023 12:48:00
Withdrawal,0.0,,8.773221,IOTA,1.226779,IOTA,Binance US,53645554,,2168580505,Binance US CSV,2025-06-19,02-10-2023 14:24:00
Withdrawal,0.0,,10231.59722,IOTA,1.226779,IOTA,Binance US,53645554,,2168583906,Binance US CSV,2025-06-19,02-10-2023 14:28:00
Deposit,712.929477,USDT,0.0,,0.0,,Binance US,53645554,,2169878509,Binance US CSV,2025-06-19,13-10-2023 01:56:00
Trade,2147.0,IOTA,301.2241,USDT,8.588,IOTA,Binance US,53645554,,2169875305,Binance US CSV,2025-06-19,13-10-2023 01:59:00
Trade,2935.0,IOTA,411.7805,USDT,11.74,IOTA,Binance US,53645554,,2169875307,Binance US CSV,2025-06-19,13-10-2023 01:59:00
Withdrawal,0.0,,98.817165,IOTA,1.182835,IOTA,Binance US,53645554,,2169878464,Binance US CSV,2025-06-19,13-10-2023 02:52:00
Withdrawal,0.0,,4960.489165,IOTA,1.182835,IOTA,Binance US,53645554,,2169878753,Binance US CSV,2025-06-19,13-10-2023 02:54:00
Deposit,485.0,USDT,0.0,,0.0,,Binance US,53645554,,2169936736,Binance US CSV,2025-06-19,14-10-2023 00:18:00
Trade,58.5,NEAR,58.968,USDT,0.351,NEAR,Binance US,53645554,,2169942136,Binance US CSV,2025-06-19,14-10-2023 00:21:00
Trade,421.7,NEAR,425.4953,USDT,2.5302,NEAR,Binance US,53645554,,2169942134,Binance US CSV,2025-06-19,14-10-2023 00:21:00
Withdrawal,0.0,,477.1534975,NEAR,0.16530252,NEAR,Binance US,53645554,,2169944734,Binance US CSV,2025-06-19,14-10-2023 01:04:00
Deposit,711.932848,USDT,0.0,,0.0,,Binance US,53645554,,2169988773,Binance US CSV,2025-06-19,14-10-2023 22:12:00
Trade,2440.0,IOTA,356.24,USDT,9.76,IOTA,Binance US,53645554,,2169991706,Binance US CSV,2025-06-19,14-10-2023 23:48:00
Trade,2397.0,IOTA,349.962,USDT,9.588,IOTA,Binance US,53645554,,2169992244,Binance US CSV,2025-06-19,14-10-2023 23:49:00
Trade,43.0,IOTA,6.278,USDT,0.172,IOTA,Binance US,53645554,,2169992297,Binance US CSV,2025-06-19,14-10-2023 23:56:00
Withdrawal,0.0,,4859.296908,IOTA,1.183092,IOTA,Binance US,53645554,,2169991495,Binance US CSV,2025-06-19,15-10-2023 00:18:00
Deposit,679.98186,USDT,0.0,,0.0,,Binance US,53645554,,2300215201,Binance US CSV,2025-06-19,20-10-2023 17:28:00
Deposit,524.02105,USDT,0.0,,0.0,,Binance US,53645554,,2300246389,Binance US CSV,2025-06-19,21-10-2023 02:04:00
Trade,31.6,NEAR,31.6632,USDT,0.1896,NEAR,Binance US,53645554,,2300251536,Binance US CSV,2025-06-19,21-10-2023 02:28:00
Trade,471.4,NEAR,473.2856,USDT,2.8284,NEAR,Binance US,53645554,,2300251539,Binance US CSV,2025-06-19,21-10-2023 02:28:00
Trade,11.0,NEAR,11.044,USDT,0.066,NEAR,Binance US,53645554,,2300252060,Binance US CSV,2025-06-19,21-10-2023 02:30:00
Trade,4775.0,IOTA,687.6,USDT,19.1,IOTA,Binance US,53645554,,2300256178,Binance US CSV,2025-06-19,21-10-2023 03:00:00
Withdrawal,0.0,,4754.651718,IOTA,1.248282,IOTA,Binance US,53645554,,2300250875,Binance US CSV,2025-06-19,21-10-2023 03:12:00
Withdrawal,0.0,,510.7402434,NEAR,0.17575665,NEAR,Binance US,53645554,,2300251691,Binance US CSV,2025-06-19,21-10-2023 03:18:00
Deposit,4192.8389,USDT,0.0,,0.0,,Binance US,53645554,,2303330631,Binance US CSV,2025-06-19,05-11-2023 20:36:00
Trade,641.6,NEAR,1052.224,USDT,3.8496,NEAR,Binance US,53645554,,2303333351,Binance US CSV,2025-06-19,05-11-2023 20:42:00
Trade,92.0,NEAR,150.972,USDT,0.368,NEAR,Binance US,53645554,,2303333741,Binance US CSV,2025-06-19,05-11-2023 20:43:00
Trade,46.0,NEAR,75.486,USDT,0.184,NEAR,Binance US,53645554,,2303333743,Binance US CSV,2025-06-19,05-11-2023 20:43:00
Trade,23.0,NEAR,37.743,USDT,0.092,NEAR,Binance US,53645554,,2303332911,Binance US CSV,2025-06-19,05-11-2023 20:44:00
Trade,11.6,NEAR,19.0356,USDT,0.0464,NEAR,Binance US,53645554,,2303334909,Binance US CSV,2025-06-19,05-11-2023 20:46:00
Trade,164.9,NEAR,270.6009,USDT,0.6596,NEAR,Binance US,53645554,,2303332931,Binance US CSV,2025-06-19,05-11-2023 20:47:00
Trade,141.3,NEAR,231.8733,USDT,0.5652,NEAR,Binance US,53645554,,2303333768,Binance US CSV,2025-06-19,05-11-2023 20:47:00
Trade,162.5,NEAR,266.6625,USDT,0.975,NEAR,Binance US,53645554,,2303333395,Binance US CSV,2025-06-19,05-11-2023 20:49:00
Trade,5.7,NEAR,9.3537,USDT,0.0342,NEAR,Binance US,53645554,,2303333390,Binance US CSV,2025-06-19,05-11-2023 20:49:00
Trade,217.2,NEAR,357.9456,USDT,1.3032,NEAR,Binance US,53645554,,2303333393,Binance US CSV,2025-06-19,05-11-2023 20:49:00
Trade,268.3,NEAR,440.5486,USDT,1.6098,NEAR,Binance US,53645554,,2303334941,Binance US CSV,2025-06-19,05-11-2023 20:50:00
