Parent Transaction Hash,Status,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x624518b9ec214cc3929043591f9ee34cd9046a772e5161f67d12791e20230d27","Success","23141983","2025-06-16 02:01:40","0x4F9A0e7FD2Bf6067db6994CF12E4495Df938E6e9","Polygon Hermez: WETH Token","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0.00821121 ETH","$20.01"
"0x7abe7c89bc03b19b2bf29cb82665c3f0ce2f7179355248e7a47088730e52e90f","Success","23141546","2025-06-16 01:37:02","0x4F9A0e7FD2Bf6067db6994CF12E4495Df938E6e9","Polygon Hermez: WETH Token","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0.50675437 ETH","$1,235.02"
"0x932f985d9a9e75fae376bd7c6f37a9206b0fee49900ffd1823f8e7bc6efca43c","Success","938998","2023-06-13 16:42:14","0x2a3DD3EB832aF982ec71669E178424b10Dca2EDe","Polygon Hermez: Bridge","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0.5 ETH","$1,218.56"
"0xcdb310e2ae2c2c587d9c40cb224eb361e488af367f43987deec7c4d11520f7bd","Success","1643","2023-03-27 20:55:48","0x2a3DD3EB832aF982ec71669E178424b10Dca2EDe","Polygon Hermez: Bridge","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0.01587 ETH","$38.68"
