timestamp,tx_type,received_amount,received_currency,sent_amount,sent_currency,fee,fee_currency,comment,txid,url,exchange,wallet_address
2024-01-12 02:39:18,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",0173FDA885F25A9126C2F84EF6A5A5A255704760C76DAB678C911D461C2CBC91-0,https://www.mintscan.io/celestia/tx/0173FDA885F25A9126C2F84EF6A5A5A255704760C76DAB678C911D461C2CBC91,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:38:53,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",B696E55C4AC531097F15BCC5F546A1C32006F1984AE1CB0BCC324C1229EE7242-0,https://www.mintscan.io/celestia/tx/B696E55C4AC531097F15BCC5F546A1C32006F1984AE1CB0BCC324C1229EE7242,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:33:55,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",6282BB25A32B2016995633E1BCBC14DA887EC406784C54D17316F52F2B408A8B-0,https://www.mintscan.io/celestia/tx/6282BB25A32B2016995633E1BCBC14DA887EC406784C54D17316F52F2B408A8B,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:33:29,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",7BD795F0A082C159DC1ABA6CBADD5BB9A68FF9AB6B48E04AB747B5EDA67E0C75-0,https://www.mintscan.io/celestia/tx/7BD795F0A082C159DC1ABA6CBADD5BB9A68FF9AB6B48E04AB747B5EDA67E0C75,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:31:07,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",FBD49273709209E18CF25DAC9ED05C6AAC9078B39D1AFF919F436C21B35B72C5-0,https://www.mintscan.io/celestia/tx/FBD49273709209E18CF25DAC9ED05C6AAC9078B39D1AFF919F436C21B35B72C5,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:23:50,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",FABD007988D26FC9C3A2FDCF4BA47A510EE252E96993A3711DDE30F085BCF4DB-0,https://www.mintscan.io/celestia/tx/FABD007988D26FC9C3A2FDCF4BA47A510EE252E96993A3711DDE30F085BCF4DB,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:23:26,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",5017A28E97E364C4D36178A905B50AC4E3BCA801A5CE490B5D75C4F58706111F-0,https://www.mintscan.io/celestia/tx/5017A28E97E364C4D36178A905B50AC4E3BCA801A5CE490B5D75C4F58706111F,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:22:48,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",15DAA0F528122EBB492D0981D31AB64F4A3FC5C3635CED4E405A9624BB9311CB-0,https://www.mintscan.io/celestia/tx/15DAA0F528122EBB492D0981D31AB64F4A3FC5C3635CED4E405A9624BB9311CB,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:22:24,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F7A55777C29808B82A66B40A71C0709F92553900EEB7D1DD32D7992697949E53-0,https://www.mintscan.io/celestia/tx/F7A55777C29808B82A66B40A71C0709F92553900EEB7D1DD32D7992697949E53,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 02:10:18,_SELF_TRANSFER,,,,,0.001914,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",102B50F3A08CFF651EA265368686A3C0AE06BB9263011D3BF2AA87AECD05A2F2-0,https://www.mintscan.io/celestia/tx/102B50F3A08CFF651EA265368686A3C0AE06BB9263011D3BF2AA87AECD05A2F2,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:55:12,_SELF_TRANSFER,,,,,0.001915,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",E6021C5E1C916509349A03965925432A94631DC6D8C8B1899E3DBFCCC0B6BB9B-0,https://www.mintscan.io/celestia/tx/E6021C5E1C916509349A03965925432A94631DC6D8C8B1899E3DBFCCC0B6BB9B,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:53:22,_SELF_TRANSFER,,,,,0.001913,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",5946C2BB8E718720C53A42F91EBCAF8A8B67779491A37E14EE765CAB05664628-0,https://www.mintscan.io/celestia/tx/5946C2BB8E718720C53A42F91EBCAF8A8B67779491A37E14EE765CAB05664628,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:53:04,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",3CE568966AA1505B60EEC189CB43E70297BDE04A9573ECAECAA091BBE325D5A2-0,https://www.mintscan.io/celestia/tx/3CE568966AA1505B60EEC189CB43E70297BDE04A9573ECAECAA091BBE325D5A2,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:52:39,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",93A47A22AD8B7642D58FFDD6A50C0786A6EEF062C10D385438693651EC68E772-0,https://www.mintscan.io/celestia/tx/93A47A22AD8B7642D58FFDD6A50C0786A6EEF062C10D385438693651EC68E772,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:51:58,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",EC85BE57E16D0004FEF1281E2C51D3A6DEFDD6A3A6710A2925C7EEC99BE30432-0,https://www.mintscan.io/celestia/tx/EC85BE57E16D0004FEF1281E2C51D3A6DEFDD6A3A6710A2925C7EEC99BE30432,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:50:09,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",D43CAA938D9955E25CB4B84D89282DB30D88F407E2BE3FB7C7E5C940A60542CC-0,https://www.mintscan.io/celestia/tx/D43CAA938D9955E25CB4B84D89282DB30D88F407E2BE3FB7C7E5C940A60542CC,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:48:13,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",338FC6F6D2F8CED1896534B53BA21158934236BB3BAC359849CB7FDA1987DD95-0,https://www.mintscan.io/celestia/tx/338FC6F6D2F8CED1896534B53BA21158934236BB3BAC359849CB7FDA1987DD95,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:44:56,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F633C8E2687609752B252C107BCBBCECFF107E45C1DD7F7A25D614FA581920C8-0,https://www.mintscan.io/celestia/tx/F633C8E2687609752B252C107BCBBCECFF107E45C1DD7F7A25D614FA581920C8,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:44:32,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",B756C3D953CB8AFBA78356818D6968313AC76706B0D6BB6CE3CF5DDB341F37E7-0,https://www.mintscan.io/celestia/tx/B756C3D953CB8AFBA78356818D6968313AC76706B0D6BB6CE3CF5DDB341F37E7,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:43:49,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",B4236035E8C9A106814ED69CABC7543AD198D070049DDC287948B8CE1D697AC4-0,https://www.mintscan.io/celestia/tx/B4236035E8C9A106814ED69CABC7543AD198D070049DDC287948B8CE1D697AC4,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:43:13,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F9F170FF6DFAA1A2D300FEA212E26C4C35C142063E1E6B66F6273A36B11A998A-0,https://www.mintscan.io/celestia/tx/F9F170FF6DFAA1A2D300FEA212E26C4C35C142063E1E6B66F6273A36B11A998A,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:42:37,_SELF_TRANSFER,,,,,0.001911,TIA,,96B168C7F639B9E883D4CEF374E73767415D8BB9A5A55AC3B75A5B73BE4232E1-0,https://www.mintscan.io/celestia/tx/96B168C7F639B9E883D4CEF374E73767415D8BB9A5A55AC3B75A5B73BE4232E1,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:42:12,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",C70500314039D8FA3C66BB43C6140F0713A6AFB03701C5D708B7590A82AB071B-0,https://www.mintscan.io/celestia/tx/C70500314039D8FA3C66BB43C6140F0713A6AFB03701C5D708B7590A82AB071B,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:31:09,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",35CA5FE404992E90D842003AEF29E7FD266AE3BDCEBD46852CE1991442475BC6-0,https://www.mintscan.io/celestia/tx/35CA5FE404992E90D842003AEF29E7FD266AE3BDCEBD46852CE1991442475BC6,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:27:42,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",C807D5286A0ED87DF37954205F59EA5B4826D01B457BA1B3D8E1EA930C4835CE-0,https://www.mintscan.io/celestia/tx/C807D5286A0ED87DF37954205F59EA5B4826D01B457BA1B3D8E1EA930C4835CE,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:23:16,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F53326988AAEE8859CD84CA15C3B1D9A2E8CA500ACDE95ADAE885D9B9CBCBA35-0,https://www.mintscan.io/celestia/tx/F53326988AAEE8859CD84CA15C3B1D9A2E8CA500ACDE95ADAE885D9B9CBCBA35,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:21:57,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",A2B5A0253876B9107ABF5C6D699913A6F2AF9B353D5FAA5DCB6E98EEEF0B3DAB-0,https://www.mintscan.io/celestia/tx/A2B5A0253876B9107ABF5C6D699913A6F2AF9B353D5FAA5DCB6E98EEEF0B3DAB,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:20:55,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",3A39B5AEA08451038AC0D93663DAFAF73587B545CFDDC56505659FB5BB042666-0,https://www.mintscan.io/celestia/tx/3A39B5AEA08451038AC0D93663DAFAF73587B545CFDDC56505659FB5BB042666,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:20:30,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",1FBECA5C8C5347E5712353DEBFB039926EE3C11F0157B127F71953185FA521DA-0,https://www.mintscan.io/celestia/tx/1FBECA5C8C5347E5712353DEBFB039926EE3C11F0157B127F71953185FA521DA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:19:54,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",80CC67BB92B95E530CE3DBCC63D2B0453291148A124E38DC0F2652765DE0EF91-0,https://www.mintscan.io/celestia/tx/80CC67BB92B95E530CE3DBCC63D2B0453291148A124E38DC0F2652765DE0EF91,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:19:30,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",81C07E88327291B1686A12C199F9E5318227101DFD8F9951EFCDB2983DF132F4-0,https://www.mintscan.io/celestia/tx/81C07E88327291B1686A12C199F9E5318227101DFD8F9951EFCDB2983DF132F4,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:18:37,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",98558C2E68783E472135C50D314AAF9EAC22EAC7F1E07284B68563B5776BBE2E-0,https://www.mintscan.io/celestia/tx/98558C2E68783E472135C50D314AAF9EAC22EAC7F1E07284B68563B5776BBE2E,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:18:01,_SELF_TRANSFER,,,,,0.000956000,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F734B24549FD32F77016699817E01DB62209DBE48489A9966B79DA50F423D79C-0,https://www.mintscan.io/celestia/tx/F734B24549FD32F77016699817E01DB62209DBE48489A9966B79DA50F423D79C,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
2024-01-12 01:17:43,_SELF_TRANSFER,,,,,0.001911,TIA,"[memo:data:,{""op"":""mint"",""amt"":10000...]",F72404C5746DEC1ACB34FE3BB69648FCB076BDDCA3B8BD379331981B299C7D6C-0,https://www.mintscan.io/celestia/tx/F72404C5746DEC1ACB34FE3BB69648FCB076BDDCA3B8BD379331981B299C7D6C,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d
