Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,0.001003256,SUI,0.0,,0.0,,Koinly,,,11-12-2023 03:28:29
Deposit,78.916006,USDCET,0.0,,0.0,,Koinly,,,11-12-2023 03:28:47
Withdrawal,0.0,,41397.87795576,TURBOS,0.0,,Koinly,SUI,,11-12-2023 03:28:47
Withdrawal,0.0,,0.0029155,SUI,0.0,,Koinly,SUI,,11-12-2023 03:28:47
Withdrawal,0.0,,77.53038,USDCET,0.0,,Koinly,SUI,,11-12-2023 03:29:33
Withdrawal,0.0,,41389.999882858,TURBOS,0.0,,Koinly,SUI,,11-12-2023 03:29:33
Withdrawal,0.0,,0.015152108,SUI,0.0,,Koinly,SUI,,11-12-2023 03:29:33
Deposit,60.229352858,TURBOS,0.0,,0.0,,Koinly,,,11-12-2023 04:00:47
Deposit,0.062831,USDCET,0.0,,0.0,,Koinly,,,11-12-2023 04:00:47
Deposit,0.11543716,SUI,0.0,,0.0,,Koinly,,,11-12-2023 04:00:47
Deposit,4.260934221,SUI,0.0,,0.0,,Koinly,,,11-12-2023 19:10:38
Deposit,451.307851266,TURBOS,0.0,,0.0,,Koinly,,,11-12-2023 19:10:38
Deposit,0.844315,USDCET,0.0,,0.0,,Koinly,,,11-12-2023 19:10:38
Deposit,4.856324,USDCET,0.0,,0.0,,Koinly,,,11-12-2023 19:10:55
Deposit,81636.909414265,TURBOS,0.0,,0.0,,Koinly,,,11-12-2023 19:10:55
Deposit,0.000639672,SUI,0.0,,0.0,,Koinly,,,11-12-2023 19:10:55
Deposit,139.700066,USDCET,0.0,,0.0,,Koinly,,,11-12-2023 19:11:16
Withdrawal,0.0,,82156.324691292,TURBOS,0.0,,Koinly,SUI,,11-12-2023 19:11:16
Deposit,0.007812204,SUI,0.0,,0.0,,Koinly,,,11-12-2023 19:11:16
Trade,119.029611856,SUI,73.712696,USDCET,0.0,,Koinly,SUI,,11-12-2023 19:11:39
Withdrawal,0.0,,55.86431,USDCET,0.0,,Koinly,SUI,,11-12-2023 19:12:04
Withdrawal,0.0,,123.001797235,SUI,0.0,,Koinly,SUI,,11-12-2023 19:12:04
Trade,28.834235761,SUI,17.848387,USDCET,0.0,,Koinly,SUI,,11-12-2023 19:12:35
Withdrawal,0.0,,29.6087433,SUI,0.0,,Koinly,SUI,,11-12-2023 19:12:59
Deposit,1.338317,USDCET,0.0,,0.0,,Koinly,,,12-12-2023 15:10:25
Deposit,5.386351178,SUI,0.0,,0.0,,Koinly,,,12-12-2023 15:10:25
Deposit,0.148205,USDCET,0.0,,0.0,,Koinly,,,12-12-2023 16:00:32
Deposit,0.396394593,SUI,0.0,,0.0,,Koinly,,,12-12-2023 16:00:32
Deposit,0.719820479,SUI,0.0,,0.0,,Koinly,,,12-12-2023 18:30:06
Deposit,0.227763,USDCET,0.0,,0.0,,Koinly,,,12-12-2023 18:30:06
Deposit,7.165539548,SUI,0.0,,0.0,,Koinly,,,13-12-2023 21:37:30
Deposit,1.731043,USDCET,0.0,,0.0,,Koinly,,,13-12-2023 21:37:30
Deposit,4.262944031,SUI,0.0,,0.0,,Koinly,,,14-12-2023 16:49:05
Deposit,0.794667,USDCET,0.0,,0.0,,Koinly,,,14-12-2023 16:49:05
Deposit,0.811468,USDCET,0.0,,0.0,,Koinly,,,15-12-2023 05:22:57
Deposit,3.221019373,SUI,0.0,,0.0,,Koinly,,,15-12-2023 05:22:57
Deposit,0.820965,USDCET,0.0,,0.0,,Koinly,,,15-12-2023 15:45:36
Deposit,3.276540773,SUI,0.0,,0.0,,Koinly,,,15-12-2023 15:45:36
Deposit,1.351746,USDCET,0.0,,0.0,,Koinly,,,16-12-2023 18:38:27
Deposit,5.31282937,SUI,0.0,,0.0,,Koinly,,,16-12-2023 18:38:27
Deposit,499.451008,USDCET,0.0,,0.0,,Koinly,,,16-12-2023 18:59:09
Deposit,599.669106441,SUI,0.0,,0.0,,Koinly,,,16-12-2023 18:59:09
Deposit,54.02188948,SUI,0.0,,0.0,,Koinly,,,16-12-2023 19:03:10
Deposit,29.604730142,SUI,0.0,,0.0,,Koinly,,,16-12-2023 19:03:22
Deposit,352242877.72118,FUD,0.0,,0.0,,Koinly,,,19-12-2023 03:18:20
Withdrawal,0.0,,100.0,USDCET,0.0,,Koinly,SUI,,19-12-2023 03:18:20
Withdrawal,0.0,,0.00192104,SUI,0.0,,Koinly,SUI,,19-12-2023 03:18:20
Withdrawal,0.0,,352188463.69138,FUD,0.0,,Koinly,SUI,,19-12-2023 03:19:41
Withdrawal,0.0,,149.041584131,SUI,0.0,,Koinly,SUI,,19-12-2023 03:19:41
Deposit,352188463.69137,FUD,0.0,,0.0,,Koinly,,,19-12-2023 03:20:30
Deposit,149.023600894,SUI,0.0,,0.0,,Koinly,,,19-12-2023 03:20:30
Withdrawal,0.0,,151.313408292,SUI,0.0,,Koinly,SUI,,19-12-2023 03:20:45
Withdrawal,0.0,,352242877.72031,FUD,0.0,,Koinly,SUI,,19-12-2023 03:20:45
Deposit,1.612106618,SUI,0.0,,0.0,,Koinly,,,19-12-2023 19:09:07
Deposit,2108469.03204,FUD,0.0,,0.0,,Koinly,,,19-12-2023 19:09:07
Deposit,0.085622355,SUI,0.0,,0.0,,Koinly,,,19-12-2023 19:16:56
