ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
28A75AFCAB498CC9FC087DCD5E2DB967,,2023-04-09 03:50:57,deposit,,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,5685.2,ADA;1865,0.0,,0.0,,0.0,,2208.523178222,0.0,USD;10,false,,api,false,false,,,,,f703d561410ec9fdb823aaa01a0e8682eab52d68272dab5be20992fb86db7538,
B7B0357EC201C6092ADA51E8E575518E,,2023-04-09 17:15:23,deposit,,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,998.045416,ADA;1865,0.0,,0.0,,0.0,,386.7243614161,0.0,USD;10,false,,api,false,false,,,,,0f5a6af7fb597f7f11d7d423591370c02e107ce667530b58a01a5acd46ec3fab,
EDE994C261F2BB3BCB67394F04096A25,,2025-06-28 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.209251,ADA;1865,0.0,,0.0,,0.0,,0.1181421687,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 565
E34BCB93EF52CB41D87FB606A02AF34B,,2025-06-23 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.247222,ADA;1865,0.0,,0.0,,0.0,,0.1394712397,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 564
A80DBF8D00CBB129C4ADD5384AD96E3D,,2025-06-18 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.267724,ADA;1865,0.0,,0.0,,0.0,,0.1622632902,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 563
43E08D08C1253AC26852EC1E3B018A4E,,2025-06-13 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.225512,ADA;1865,0.0,,0.0,,0.0,,0.1440255575,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 562
CBF4759FFFC93A27197B93CB335F568F,,2025-06-08 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.288842,ADA;1865,0.0,,0.0,,0.0,,0.1955577937,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 561
4B755039C8BA311698751AB8ED542220,,2025-06-03 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.311802,ADA;1865,0.0,,0.0,,0.0,,0.212241812,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 560
38BB39075594E08AD7DAF2567FDF5445,,2025-05-29 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.26715,ADA;1865,0.0,,0.0,,0.0,,0.1959429444,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 559
1616E5C7A0FDB7DC84B207ED9BE63927,,2025-05-24 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.199483,ADA;1865,0.0,,0.0,,0.0,,0.1494559778,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 558
02391F760CB25BFF60871D73D833A89B,,2025-05-19 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.237585,ADA;1865,0.0,,0.0,,0.0,,0.1762993932,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 557
2AE7461F87D1FAE6EA5FBB335FAE035A,,2025-05-14 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.254684,ADA;1865,0.0,,0.0,,0.0,,0.203684842,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 556
30E8D0FB166CD151E0CBF2FE3B3E6C43,,2025-05-09 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.347532,ADA;1865,0.0,,0.0,,0.0,,0.270496543,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 555
E79974A4ED160AF76F9327CD18E6F096,,2025-05-04 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.287277,ADA;1865,0.0,,0.0,,0.0,,0.197624848,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 554
8AFF45274E8EBA9391E384290D34B572,,2025-04-29 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.315536,ADA;1865,0.0,,0.0,,0.0,,0.220298262,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 553
D0317AEE0050D8A4AB58E51E727E45B7,,2025-04-24 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.258987,ADA;1865,0.0,,0.0,,0.0,,0.1854520005,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 552
E088E2CF73CFD80FB050BDE514CCA1D2,,2025-04-19 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.299661,ADA;1865,0.0,,0.0,,0.0,,0.1887685624,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 551
5EE2212F57D193E82B0E52E9F6F51AC4,,2025-04-14 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.258918,ADA;1865,0.0,,0.0,,0.0,,0.1638765665,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 550
F377A486EED28E703A59FC063C9DC1A8,,2025-04-09 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.265646,ADA;1865,0.0,,0.0,,0.0,,0.1703382876,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 549
51AD2368311CB706F6CB4CD27FB34AD2,,2025-04-04 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.280604,ADA;1865,0.0,,0.0,,0.0,,0.186877285,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 548
5F737F4D73002867F8D5ED850D42D0EB,,2025-03-30 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.233936,ADA;1865,0.0,,0.0,,0.0,,0.1557953899,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 547
319B09BB04330D942022F7A501C1CF39,,2025-03-25 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.285123,ADA;1865,0.0,,0.0,,0.0,,0.2131227409,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 546
F592F881A17C9AA97A575CEA73E92168,,2025-03-20 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.292117,ADA;1865,0.0,,0.0,,0.0,,0.2103043462,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 545
6648D290FB66DC877FD6082593DC5BF5,,2025-03-15 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.294246,ADA;1865,0.0,,0.0,,0.0,,0.2230107382,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 544
